antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Eye Shadow', 'Eyeliner'})",frozenset({'Mascara'}),0.081,0.191625,0.0615,0.7592592592592592,3.962214007876108,1.0,0.045978375,3.357865384615384,0.8135101780832825,0.2912966252220249,0.7021917541478386,0.540099296948612
"frozenset({'Mascara', 'Eyeliner'})",frozenset({'Eye Shadow'}),0.08375,0.196125,0.0615,0.7343283582089551,3.7441853828372476,1.0,0.045074531249999994,3.0258216292134823,0.7999118224470102,0.28162564396107614,0.6695112526312612,0.5239519420107873
"frozenset({'Lip Balm', 'Moisturizer'})",frozenset({'BB Cream'}),0.096875,0.187625,0.066125,0.6825806451612904,3.6380047710128736,1.0,0.047948828125,2.559311483739838,0.8029055278288342,0.3028048082427018,0.6092699124927409,0.5175061786765812
"frozenset({'Mascara', 'Eye Shadow'})",frozenset({'Eyeliner'}),0.075875,0.24275,0.0615,0.8105436573311368,3.339005797450615,1.0,0.04308134375,3.996963043478261,0.7580247850361637,0.2391832766164317,0.7498100459968792,0.531945361106351
"frozenset({'BB Cream', 'Moisturizer'})",frozenset({'Lip Balm'}),0.082625,0.256375,0.066125,0.800302571860817,3.1216092515292715,1.0,0.044942015625,3.7237585227272736,0.7408665052000974,0.24232707283554739,0.7314541225225308,0.5291127681342115
"frozenset({'BB Cream', 'Lip Balm'})",frozenset({'Moisturizer'}),0.08525,0.25275,0.066125,0.7756598240469208,3.06888159860305,1.0,0.0445780625,3.3308790849673198,0.7369755596553234,0.24321839080459773,0.6997789548971841,0.5186409901639154
